Row,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18
"L TL AUD Area TE 1.2 (HESCHL)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL AUD Area TE 1.2 (HESCHL)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL AUD Area TE 2.1 (STG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL AUD Area TE 2.1 (STG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL AUD Area TE 2.2 (STG)",0,0,0,0,0,0,0,0,21.6477651767845,0,0,0,0,0,0,0,0,0
"R TL AUD Area TE 2.2 (STG)",0,0,0,0,0,0,0.238526858124225,0,0,0,0,0,0,0,0,0,0,0
"L TL AUD Area TE 3 (STG)",0,0,0,0,0,0,0,0,11.9412941961308,0,0,0,0,0.225879315908358,0.366108786610879,0,0,0
"R TL AUD Area TE 3 (STG)",0,0,0,0,0,0,10.3997710142162,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC CA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL HPC CA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC CA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL HPC CA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC CA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL HPC CA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC DG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL HPC DG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC HC-Parasubiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
